sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	copy_ratio	modal_cn	expected_cn	subclonal	cancer_cell_frac	ccf_ci95_low	ccf_ci95_high	hz
solid_tumor	1	3218610	14449771	5840	11231161	0.00164	0.00394	0.456	2	2.08205	0	1	1	1	0
solid_tumor	1	14450545	14453003	2	2458	0.08839	0	0.13051	0	0.58299	0	1	1	1	1
solid_tumor	1	14455748	31677633	9063	17221885	0.00131	0.00604	0.46211	2	2.11418	0	1	1	1	0
solid_tumor	1	31682380	31736123	40	53743	0.01976	2e-05	0.33972	1	1.47764	0	1	1	1	0
solid_tumor	1	31740706	31750640	4	9934	0.0625	0	0.56813	3	2.69295	0	1	1	1	0
solid_tumor	1	31751191	31829873	35	78682	0.02113	3e-05	0.69164	3	3.5209	0	1	1	1	0
solid_tumor	1	31832773	32252805	223	420032	0.00837	0.00015	0.80213	4	4.40417	0	1	1	1	0
solid_tumor	1	32253305	33264078	385	1010773	0.00637	0.00035	0.4496	2	2.04857	0	1	1	1	0
solid_tumor	1	33266475	70425743	22506	37159268	0.00083	0.01303	0.3384	1	1.46799	0	1	1	1	0
solid_tumor	1	70428611	70682550	150	253939	0.01021	9e-05	0.44402	2	2.01958	0	1	1	1	0
solid_tumor	1	70684272	72047034	685	1362762	0.00478	0.00048	0.34026	1	1.47793	0	1	1	1	0
solid_tumor	1	72049673	72049987	3	314	0.07217	0	0.63874	3	3.11856	0	1	1	1	0
solid_tumor	1	72051206	81944199	5614	9892993	0.00167	0.00347	0.99882	6	5.96303	0	1	1	1	0
solid_tumor	1	81944381	97286187	9619	15341806	0.00127	0.00538	0.70574	4	3.6308	0	1	1	1	0
solid_tumor	1	97286347	97286510	4	163	0.0625	0	0.29852	1	1.29346	0	1	1	1	0
solid_tumor	1	97288899	98121726	490	832827	0.00565	0.00029	0.67891	3	3.43142	0	1	1	1	0
solid_tumor	1	98127066	230603822	63165	132476756	5e-04	0.04644	0.46131	2	2.10997	0	1	1	1	0
solid_tumor	1	230606103	230606178	2	75	0.08839	0	0.17761	1	0.76975	0	1	1	1	0
solid_tumor	1	230614110	236395361	3897	5781251	0.002	0.00203	0.45923	2	2.09905	0	1	1	1	0
solid_tumor	1	236395853	237358233	805	962380	0.00441	0.00034	0.59741	3	2.8848	0	1	1	1	0
solid_tumor	1	237358341	245040680	5262	7682339	0.00172	0.00269	0.45461	2	2.07477	0	1	1	1	0
solid_tumor	1	245044852	245067411	12	22559	0.03608	1e-05	0.30095	1	1.28291	0	1	1	1	0
solid_tumor	1	245071985	247812431	1196	2740446	0.00361	0.00096	0.46378	2	2.12299	0	1	1	1	0
solid_tumor	2	484222	8551830	4784	8067608	0.00181	0.00283	0.56538	3	2.68973	0	1	1	1	0
solid_tumor	2	8554053	8554141	2	88	0.08839	0	0.22022	1	0.95667	0	1	1	1	0
solid_tumor	2	8554600	12018120	2305	3463520	0.0026	0.00121	0.57359	3	2.73887	0	1	1	1	0
solid_tumor	2	12021442	12022803	2	1361	0.08839	0	0.25087	1	1.09842	0	1	1	1	0
solid_tumor	2	12037179	56258262	25588	44221083	0.00078	0.0155	0.57383	3	2.74034	0	1	1	1	0
solid_tumor	2	56258347	56258784	4	437	0.0625	0	0.28391	1	1.22027	0	1	1	1	0
solid_tumor	2	56261146	89130753	17599	32869607	0.00094	0.01152	0.56444	3	2.68415	0	1	1	1	0
solid_tumor	2	95341700	97683329	644	2341629	0.00493	0.00082	0.78562	4	4.26894	0	1	1	1	0
solid_tumor	2	97693349	97703271	3	9922	0.07217	0	0.56159	3	2.65149	0	1	1	1	0
solid_tumor	2	97703284	98289839	16	586555	0.03125	0.00021	0.89701	5	5.15724	0	1	1	1	0
solid_tumor	2	98289997	101612615	1960	3322618	0.00282	0.00116	1.21647	8	7.91355	1	0.5	0.03716	0.97235	0
solid_tumor	2	101614322	103375992	1093	1761670	0.00378	0.00062	0.92095	5	5.35857	0	1	1	1	0
solid_tumor	2	103380874	157841800	28569	54460926	0.00074	0.01909	0.573	3	2.73531	0	1	1	1	0
solid_tumor	2	157846087	161597537	2225	3751450	0.00265	0.00131	0.88191	5	5.05187	0	1	1	1	0
solid_tumor	2	161597652	164753038	1726	3155386	0.00301	0.00111	1.0294	6	6.20504	0	1	1	1	0
solid_tumor	2	164753229	164925101	89	171872	0.01325	6e-05	1.25571	8	8.30675	1	0.83	0.04285	0.97736	0
solid_tumor	2	164928490	165329104	211	400614	0.00861	0.00014	1.01227	6	6.06772	0	1	1	1	0
solid_tumor	2	165329726	165377199	26	47473	0.02451	2e-05	0.70222	4	3.5984	0	1	1	1	0
solid_tumor	2	165379463	242476062	44368	77096599	0.00059	0.02702	0.45313	2	2.06701	0	1	1	1	0
solid_tumor	3	2212571	32131082	17858	29918511	0.00094	0.01049	0.70222	4	3.60418	0	1	1	1	0
solid_tumor	3	32131240	32131348	2	108	0.08839	0	1.44473	10	10.22431	1	0.44	0.03547	0.97341	0
solid_tumor	3	32132032	41914188	5943	9782156	0.00162	0.00343	0.70466	4	3.62262	0	1	1	1	0
solid_tumor	3	42217863	59639362	9495	17421499	0.00128	0.00611	0.33702	1	1.46072	0	1	1	1	0
solid_tumor	3	59639865	59640196	3	331	0.07217	0	0.12457	0	0.52438	0	1	1	1	1
solid_tumor	3	59641065	65736146	3799	6095081	0.00203	0.00214	0.33286	1	1.43886	0	1	1	1	0
solid_tumor	3	65738265	65871499	120	133234	0.01141	5e-05	0.46281	2	2.11805	0	1	1	1	0
solid_tumor	3	65874608	82337711	9858	16463103	0.00126	0.00577	0.33314	1	1.4403	0	1	1	1	0
solid_tumor	3	82339880	95499955	4683	13160075	0.00183	0.00461	0.69501	3	3.54997	0	1	1	1	0
solid_tumor	3	95500438	95506627	3	6189	0.07217	0	0.33266	1	1.47446	0	1	1	1	0
solid_tumor	3	95508664	95686081	84	177417	0.01364	6e-05	0.67577	3	3.40743	0	1	1	1	0
solid_tumor	3	95686610	95687051	2	441	0.08839	0	0.27699	1	1.22238	0	1	1	1	0
solid_tumor	3	95691940	197538677	54441	101846737	0.00054	0.0357	0.77711	4	4.1994	0	1	1	1	0
solid_tumor	4	1053934	29316059	17676	28262125	0.00094	0.00991	0.58305	3	2.79626	0	1	1	1	0
solid_tumor	4	29316074	29318265	4	2191	0.0625	0	0.36006	2	1.60404	0	1	1	1	0
solid_tumor	4	29318422	41340526	7075	12022104	0.00149	0.00421	0.57903	3	2.77174	0	1	1	1	0
solid_tumor	4	41341105	188763651	77920	147422546	0.00045	0.05168	0.46394	2	2.12383	0	1	1	1	0
solid_tumor	5	914233	14576344	9431	13662111	0.00129	0.00479	0.45993	2	2.10274	0	1	1	1	0
solid_tumor	5	14580576	15330092	430	749516	0.00603	0.00026	0.20593	1	0.79205	0	1	1	1	0
solid_tumor	5	15331119	15332706	11	1587	0.03769	0	0.42188	2	1.9082	0	1	1	1	0
solid_tumor	5	15333853	15337708	7	3855	0.04725	0	0.22382	1	0.90649	0	1	1	1	0
solid_tumor	5	15338073	15338536	5	463	0.0559	0	0.12413	0	0.49215	0	1	1	1	1
