sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	copy_ratio	modal_cn	expected_cn	subclonal	cancer_cell_frac	ccf_ci95_low	ccf_ci95_high	hz
metastatic_tumor	1	3218610	31883475	14996	28664865	0.00102	0.01001	0.47355	2	2.15718	0	1	1	1	0
metastatic_tumor	1	31884180	31908169	11	23989	0.03769	1e-05	1.02811	6	6.47854	0	1	1	1	0
metastatic_tumor	1	31909072	32165668	137	256596	0.01068	9e-05	1.35585	10	10.24377	1	0.64	0.03828	0.97492	0
metastatic_tumor	1	32168863	32595616	180	426753	0.00932	0.00015	1.04088	7	6.68281	0	0.58	0.03756	0.97424	0
metastatic_tumor	1	32598190	33004455	140	406265	0.01056	0.00014	0.53396	2	2.50389	0	1	1	1	0
metastatic_tumor	1	33008483	33079507	25	71024	0.025	2e-05	0.74041	4	3.81434	0	1	1	1	0
metastatic_tumor	1	33080715	38915251	3240	5834536	0.0022	0.00204	0.41992	2	1.85689	0	1	1	1	0
metastatic_tumor	1	38915822	54861540	8375	15945718	0.00137	0.00557	0.56979	3	2.71654	0	1	1	1	0
metastatic_tumor	1	54861645	57645519	2075	2783874	0.00274	0.00097	0.43027	2	1.9145	0	1	1	1	0
metastatic_tumor	1	57646055	97286187	24908	39640132	0.00079	0.01384	0.5157	2	2.39788	0	1	1	1	0
metastatic_tumor	1	97286347	97286510	4	163	0.0625	0	0.24452	1	0.96546	0	1	1	1	0
metastatic_tumor	1	97288899	201884668	45200	104595769	0.00059	0.03651	0.51456	2	2.39127	0	1	1	1	0
metastatic_tumor	1	201884815	201884902	2	87	0.08839	0	0.15355	0	0.63532	0	1	1	1	1
metastatic_tumor	1	201886402	226491228	15769	24604826	0.001	0.00859	0.51663	2	2.40326	0	1	1	1	0
metastatic_tumor	1	226491656	226491662	2	6	0.08839	0	0.23006	1	0.95072	0	1	1	1	0
metastatic_tumor	1	226494515	236409273	6395	9914758	0.00156	0.00346	0.51005	2	2.36525	0	1	1	1	0
metastatic_tumor	1	236409413	237358233	800	948820	0.00442	0.00033	0.60626	3	2.9387	0	1	1	1	0
metastatic_tumor	1	237358341	247813706	6450	10455365	0.00156	0.00365	0.51132	2	2.3726	0	1	1	1	0
metastatic_tumor	2	484222	5244422	2355	4760200	0.00258	0.00166	0.58719	3	2.82178	0	1	1	1	0
metastatic_tumor	2	5245837	5245882	2	45	0.08839	0	0.27992	1	1.18416	0	1	1	1	0
metastatic_tumor	2	5249686	8447979	2331	3198293	0.00259	0.00112	0.58927	3	2.83445	0	1	1	1	0
metastatic_tumor	2	8454703	10055924	1064	1601221	0.00383	0.00056	0.73408	4	3.77845	0	1	1	1	0
metastatic_tumor	2	10056518	20714957	7286	10658439	0.00146	0.00372	0.60207	3	2.91295	0	1	1	1	0
metastatic_tumor	2	20717515	20908965	140	191450	0.01056	7e-05	0.7284	4	3.73743	0	1	1	1	0
metastatic_tumor	2	20909502	97713135	37659	76803633	0.00064	0.02681	0.57026	3	2.7194	0	1	1	1	0
metastatic_tumor	2	97713773	101612615	1963	3898842	0.00282	0.00136	1.08794	7	7.30344	1	0.04	0.03136	0.96594	0
metastatic_tumor	2	101614322	103375992	1092	1761670	0.00378	0.00062	0.84031	5	4.57828	0	1	1	1	0
metastatic_tumor	2	103380874	157826951	28512	54446077	0.00074	0.01901	0.52073	2	2.427	0	1	1	1	0
metastatic_tumor	2	157827482	164302967	3664	6475485	0.00207	0.00226	0.7816	4	4.12179	0	1	1	1	0
metastatic_tumor	2	164305030	164305412	6	382	0.05103	0	0.54567	3	2.56652	0	1	1	1	0
metastatic_tumor	2	164310877	164801400	289	490523	0.00735	0.00017	0.87091	5	4.83467	0	1	1	1	0
metastatic_tumor	2	164804617	164925101	73	120484	0.01463	4e-05	1.04124	7	6.68385	0	0.59	0.03746	0.97433	0
metastatic_tumor	2	164928490	165324532	210	396042	0.00863	0.00014	0.86089	5	4.74822	0	1	1	1	0
metastatic_tumor	2	165329104	165388812	34	59708	0.02144	2e-05	0.58132	3	2.784	0	1	1	1	0
metastatic_tumor	2	165391702	242476062	44241	77084360	0.00059	0.02691	0.43317	2	1.93066	0	1	1	1	0
metastatic_tumor	3	2212571	41914188	23728	39701617	0.00081	0.01386	0.71425	4	3.64107	0	1	1	1	0
metastatic_tumor	3	42217863	42350487	110	132624	0.01192	5e-05	0.37459	2	1.60627	0	1	1	1	0
metastatic_tumor	3	42350808	42352067	2	1259	0.08839	0	0.08405	0	0.41104	0	1	1	1	1
metastatic_tumor	3	42355114	65738464	13187	23383350	0.00109	0.00816	0.37618	2	1.61405	0	1	1	1	0
metastatic_tumor	3	65738859	65880607	123	141748	0.01127	5e-05	0.46616	2	2.11572	0	1	1	1	0
metastatic_tumor	3	65881273	68377810	1468	2496537	0.00326	0.00087	0.37875	2	1.62831	0	1	1	1	0
metastatic_tumor	3	68378853	68379402	5	549	0.0559	0	0.13529	0	0.49755	0	1	1	1	1
metastatic_tumor	3	68381793	82337711	8378	13955918	0.00137	0.00487	0.37914	2	1.63044	0	1	1	1	0
metastatic_tumor	3	82339880	90394583	3754	8054703	0.00204	0.00281	0.71752	4	3.66354	0	1	1	1	0
metastatic_tumor	3	90417948	197538677	55277	107120729	0.00053	0.0374	0.56047	3	2.66073	0	1	1	1	0
metastatic_tumor	4	1053934	20345099	11805	19291165	0.00115	0.00673	0.54977	3	2.59716	0	1	1	1	0
metastatic_tumor	4	20350248	20849761	293	499513	0.0073	0.00017	0.70637	4	3.58659	0	1	1	1	0
