sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	copy_ratio	modal_cn	expected_cn	subclonal	cancer_cell_frac	ccf_ci95_low	ccf_ci95_high	hz
blood_normal	1	3218610	247813706	128988	244595096	0.00035	0.08426	0.499	2	2	0	1	1	1	0
blood_normal	2	484222	242476062	131151	241991840	0.00035	0.08336	0.4999	2	2	0	1	1	1	0
blood_normal	3	2212571	197538677	106255	195326106	0.00038	0.06728	0.50028	2	2	0	1	1	1	0
blood_normal	4	1053934	188763651	102639	187709717	0.00039	0.06466	0.49986	2	2	0	1	1	1	0
blood_normal	5	914233	106361340	55493	105447107	0.00053	0.03632	0.5	2	2	0	1	1	1	0
blood_normal	5	106363192	106370006	5	6814	0.0559	0	0.24748	1	1	0	1	1	1	0
blood_normal	5	106373339	180360469	44890	73987130	0.00059	0.02549	0.5008	2	2	0	1	1	1	0
blood_normal	6	1014281	170903919	96380	169889638	4e-04	0.05852	0.50055	2	2	0	1	1	1	0
blood_normal	7	705284	158385118	81252	157679834	0.00044	0.05432	0.50087	2	2	0	1	1	1	0
blood_normal	8	617667	145232496	81448	144614829	0.00044	0.04982	0.50194	2	2	0	1	1	1	0
blood_normal	9	789932	5423103	3266	4633171	0.00219	0.0016	0.50201	2	2	0	1	1	1	0
blood_normal	9	5564748	5565601	2	853	0.08839	0	0.16621	1	0.99979	0	0.34	0.05248	0.69318	0
blood_normal	9	5566130	138070682	63875	132504552	0.00049	0.04564	0.50066	2	2	0	1	1	1	0
blood_normal	9	138074372	138075424	4	1052	0.0625	0	0.23405	1	1	0	1	1	1	0
blood_normal	9	138080218	140938752	799	2858534	0.00442	0.00098	0.50323	2	2	0	1	1	1	0
blood_normal	10	415240	135225087	80782	134809847	0.00044	0.04644	0.50045	2	2	0	1	1	1	0
blood_normal	11	456120	134142530	77161	133686410	0.00045	0.04605	0.4991	2	2	0	1	1	1	0
blood_normal	12	889902	133161346	73867	132271444	0.00046	0.04556	0.49882	2	2	0	1	1	1	0
blood_normal	13	19450806	114987458	56568	95536652	0.00053	0.03291	0.49934	2	2	0	1	1	1	0
blood_normal	14	20501368	104303694	48941	83802326	0.00057	0.02887	0.50021	2	2	0	1	1	1	0
blood_normal	14	104305657	104309395	7	3738	0.04725	0	0.26047	1	1	0	1	1	1	0
blood_normal	14	104319882	105988038	449	1668156	0.0059	0.00057	0.49789	2	2	0	1	1	1	0
blood_normal	15	23687685	101884307	44490	78196622	0.00059	0.02694	0.49924	2	2	0	1	1	1	0
blood_normal	16	653459	89379936	40753	88726477	0.00062	0.03056	0.50128	2	2	0	1	1	1	0
blood_normal	17	987221	10342378	4794	9355157	0.00181	0.00322	0.49941	2	2	0	1	1	1	0
blood_normal	17	10348148	10357281	5	9133	0.0559	0	0.27157	1	1	0	1	1	1	0
blood_normal	17	10358938	39047077	10964	28688139	0.00119	0.00988	0.50062	2	2	0	1	1	1	0
blood_normal	17	39048774	39052521	3	3747	0.07217	0	0.20216	1	1	0	1	1	1	0
blood_normal	17	39053516	80845689	21131	41792173	0.00086	0.0144	0.50059	2	2	0	1	1	1	0
blood_normal	17	80846516	80848724	2	2208	0.08839	0	0.13318	1	0.98546	1	0.47	0.12354	0.81768	0
blood_normal	17	80852888	80917016	51	64128	0.0175	2e-05	0.51641	2	2	0	1	1	1	0
blood_normal	18	329586	77109240	42611	76779654	0.00061	0.02645	0.50066	2	2	0	1	1	1	0
blood_normal	19	284018	58878226	23930	58594208	0.00081	0.02018	0.50049	2	2	0	1	1	1	0
blood_normal	20	455764	62219837	37234	61764073	0.00065	0.02128	0.50049	2	2	0	1	1	1	0
blood_normal	21	15347621	47678774	20559	32331153	0.00087	0.01114	0.49927	2	2	0	1	1	1	0
blood_normal	22	17423930	49331012	16911	31907082	0.00096	0.01099	0.49952	2	2	0	1	1	1	0
blood_normal	23	3157107	37498403	15158	34341296	0.00102	0.01183	0.50247	2	2	0	1	1	1	0
blood_normal	23	37499185	37503140	3	3955	0.07217	0	0.09674	0	0.09197	1	0.61	0.31412	0.89319	1
blood_normal	23	37503705	53326416	6834	15822711	0.00151	0.00545	0.48428	2	2	1	0.07	0.04359	0.08383	0
blood_normal	23	53329948	53332431	3	2483	0.07217	0	0.13225	1	0.98938	1	0.47	0.17564	0.76211	0
blood_normal	23	53332472	154905589	41490	101573117	0.00061	0.03499	0.50306	2	2	0	1	1	1	0
